dataset,mean_ibs_cox,sd_ibs_cox,mean_ibs_rsf,sd_ibs_rsf,missingness_lvl,mechanism,pipeline,model,pipeline_id
rotterdam_missing_10_MAR.csv_pipeline_0_6_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.2337350089715012,0.0310865376399354,10,MAR,R,COX,1
rotterdam_missing_10_MAR.csv_pipeline_1_5_10_16_COX_cleaned,0.2027448517090421,0.0264795510758958,0.1887704606615648,0.0181108777596109,10,MAR,R,COX,2
rotterdam_missing_10_MAR.csv_pipeline_1_8_11_12_16_COX_cleaned,0.6245467096161176,0.0442955229322855,0.1723911836921717,0.0195158360571842,10,MAR,R,COX,3
rotterdam_missing_10_MAR.csv_pipeline_2_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1686028843160147,0.023849315066013,10,MAR,R,COX,4
rotterdam_missing_10_MAR.csv_pipeline_2_6_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.2125369727283928,0.0234677946860233,10,MAR,R,COX,5
rotterdam_missing_10_MAR.csv_pipeline_3_5_12_16_COX_cleaned,0.2067241524185572,0.0329705909833008,0.1951909498864554,0.0247477911588653,10,MAR,R,COX,6
rotterdam_missing_10_MAR.csv_pipeline_3_8_10_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1878419143639656,0.0202683763921302,10,MAR,R,COX,7
rotterdam_missing_10_MAR.csv_pipeline_4_7_12_16_COX_cleaned,0.6276553159851603,0.0527920720004782,0.1894986739391486,0.028520178060216,10,MAR,R,COX,8
rotterdam_missing_10_MAR.csv_pipeline_4_8_11_14_16_COX_cleaned,0.6909322410876562,0.0381524270080325,0.1693292774258319,0.0090627304520961,10,MAR,R,COX,9
rotterdam_missing_10_MAR.csv_pipeline_4_9_12_16_COX_cleaned,0.577748470541852,0.1063445783117968,0.1711654386322322,0.0179430351707442,10,MAR,R,COX,10
rotterdam_missing_50_MAR.csv_pipeline_0_10_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1816366413631869,0.0212617375987392,50,MAR,R,COX,1
rotterdam_missing_50_MAR.csv_pipeline_0_7_11_14_16_COX_cleaned,0.6719265533109431,0.0349800243198081,0.2126570588374256,0.0112079588805664,50,MAR,R,COX,2
rotterdam_missing_50_MAR.csv_pipeline_0_8_11_14_16_COX_cleaned,0.6909322410876562,0.0381524270080325,0.1593737249295181,0.0107559356521067,50,MAR,R,COX,3
rotterdam_missing_50_MAR.csv_pipeline_1_6_14_16_COX_cleaned,0.5562681639281819,0.0265313925946807,0.1935768775326413,0.0115761667306275,50,MAR,R,COX,4
rotterdam_missing_50_MAR.csv_pipeline_2_7_14_16_COX_cleaned,0.6909322410876562,0.0381524270080325,0.118771947475464,0.0088704164014025,50,MAR,R,COX,5
rotterdam_missing_50_MAR.csv_pipeline_2_8_10_12_16_COX_cleaned,0.6303092062610022,0.043241916094876,0.1396802346044938,0.0180856493574875,50,MAR,R,COX,6
rotterdam_missing_50_MAR.csv_pipeline_3_5_10_12_16_COX_cleaned,0.2034344804511498,0.0235388141584275,0.1753759232404745,0.0185302108124463,50,MAR,R,COX,7
rotterdam_missing_50_MAR.csv_pipeline_3_6_9_16_COX_cleaned,0.5931296859135274,0.0504217775757392,0.1969629615177288,0.0280991767072064,50,MAR,R,COX,8
rotterdam_missing_50_MAR.csv_pipeline_3_8_11_14_16_COX_cleaned,0.6909322410876562,0.0381524270080325,0.1593737249295181,0.0107559356521067,50,MAR,R,COX,9
